Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.388","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","15.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.043","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","32.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","14.3","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","5.031","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","88.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","30.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.684","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","Q","Missing value; suppressed"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.527","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","41.4","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","1.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.116","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","","O","Missing value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.437","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","0.7","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.2","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","040","Austria","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","3.027","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","040","Austria","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","0.9","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","040","Austria","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0.1","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","031","Azerbaijan","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","2.69","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","031","Azerbaijan","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","0","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","031","Azerbaijan","6132","Value","7006","Number of people unable to afford a healthy diet (million)","2021","2021","million No","0","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","044","Bahamas","6226","Value","7004","Cost of a healthy diet (PPP dollar per person per day)","2021","2021","PPP dollar per person per day","4.661","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","044","Bahamas","6121","Value","7005","Percentage of the population unable to afford a healthy diet (percent)","2021","2021","%","","O","Missing value"
