Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","004","Afghanistan","5110","Area","6600","Country area","2021","2021","1000 ha","65286","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6601","Land area","2021","2021","1000 ha","65223","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2021","2021","1000 ha","38313","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2021","2021","1000 ha","38313","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2021","2021","1000 ha","8051","I","Imputed value"
"RL","Land Use","004","Afghanistan","7277","Area per capita","6620","Cropland","2021","2021","ha/pc","0.2008","E","Estimated value"
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2021","2021","1000 ha","7829","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2021","2021","1000 ha","3834","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2021","2021","1000 ha","0","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2021","2021","1000 ha","3995","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2021","2021","1000 ha","222","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6655","Permanent meadows and pastures","2021","2021","1000 ha","30262","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2021","2021","1000 ha","30262","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6646","Forest land","2021","2021","1000 ha","1208.44","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6717","Naturally regenerating forest","2021","2021","1000 ha","1208.44","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6716","Planted Forest","2021","2021","1000 ha","0","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6670","Other land","2021","2021","1000 ha","25701.56","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6680","Inland waters","2021","2021","1000 ha","63","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6690","Land area equipped for irrigation","2021","2021","1000 ha","3208","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6611","Agriculture area actually irrigated","2021","2021","1000 ha","2493","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6671","Agriculture area under organic agric.","2021","2021","1000 ha","0.0977","I","Imputed value"
"RL","Land Use","004","Afghanistan","5110","Area","6672","Agriculture area certified organic","2021","2021","1000 ha","0.0938","I","Imputed value"
"RL","Land Use","008","Albania","5110","Area","6600","Country area","2021","2021","1000 ha","2875","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6601","Land area","2021","2021","1000 ha","2740","I","Imputed value"
"RL","Land Use","008","Albania","5110","Area","6602","Agriculture","2021","2021","1000 ha","1136.33","I","Imputed value"
"RL","Land Use","008","Albania","5110","Area","6610","Agricultural land","2021","2021","1000 ha","1136.33","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2021","2021","1000 ha","687.53","A","Official figure"
"RL","Land Use","008","Albania","7277","Area per capita","6620","Cropland","2021","2021","ha/pc","0.2408","E","Estimated value"
"RL","Land Use","008","Albania","5110","Area","6621","Arable land","2021","2021","1000 ha","599.9","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6630","Temporary crops","2021","2021","1000 ha","200.9","I","Imputed value"
"RL","Land Use","008","Albania","5110","Area","6633","Temporary meadows and pastures","2021","2021","1000 ha","219.7","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6640","Temporary fallow","2021","2021","1000 ha","179.3","X","Figure from international organizations"
"RL","Land Use","008","Albania","5110","Area","6650","Permanent crops","2021","2021","1000 ha","87.63","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6655","Permanent meadows and pastures","2021","2021","1000 ha","448.8","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6646","Forest land","2021","2021","1000 ha","788.9","I","Imputed value"
"RL","Land Use","008","Albania","5110","Area","6717","Naturally regenerating forest","2021","2021","1000 ha","711.6837","I","Imputed value"
"RL","Land Use","008","Albania","5110","Area","6716","Planted Forest","2021","2021","1000 ha","70.39","I","Imputed value"
"RL","Land Use","008","Albania","5110","Area","6670","Other land","2021","2021","1000 ha","814.77","I","Imputed value"
"RL","Land Use","008","Albania","5110","Area","6680","Inland waters","2021","2021","1000 ha","33","I","Imputed value"
"RL","Land Use","008","Albania","5110","Area","6773","Coastal waters","2021","2021","1000 ha","102","I","Imputed value"
"RL","Land Use","008","Albania","5110","Area","6690","Land area equipped for irrigation","2021","2021","1000 ha","361.18","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6616","Land area actually irrigated","2021","2021","1000 ha","244.7","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6611","Agriculture area actually irrigated","2021","2021","1000 ha","188","A","Official figure"
"RL","Land Use","008","Albania","5110","Area","6694","Cropland area actually irrigated","2021","2021","1000 ha","188","I","Imputed value"
